path,id_comicbook,id_comicbook_info,calidad,en_papelera
/mnt/Green/Comics/0-Day Week (07-20-2016)/Star-Lord 008 (2016) (3 covers) (digital) (Minutemen-Faessla).cbz,351,,0,0
/mnt/Green/Comics/0-Day Week (07-20-2016)/Superman 003 (2016) (Digital) (Thornn-Empire).cbr,353,540058,0,0
/mnt/Green/Comics/0-Day Week (07-20-2016)/Superman 003 (2016) (Webrip) (The Last Kryptonian-DCP).cbr,354,540058,0,0
"/mnt/Green/Comics/0-Day Week (07-20-2016)/Superman, 2016-07-20 (#03) (2 covers) (digital) (Glorith-Novus-HD).cbz",355,540058,0,0
/mnt/Green/Comics/0-Day Week (07-20-2016)/The Astonishing Ant-Man 009 (2016) (digital) (Minutemen-Faessla).cbz,356,,0,0
/mnt/Green/Comics/0-Day Week (07-20-2016)/The Astonishing Ant-Man 010 (2016) (2 covers) (digital) (Minutemen-Faessla).cbz,357,,0,0
/mnt/Green/Comics/0-Day Week (07-20-2016)/The Astonishing Ant-Man 010 (2016) (2 covers) (Digital) (Zone-Empire).cbr,358,,0,0
/mnt/Green/Comics/0-Day Week (07-20-2016)/The Astonishing Ant-Man 010 (2016) (digital) (Minutemen-Faessla).cbz,359,,0,0
/mnt/Green/Comics/0-Day Week (07-20-2016)/The Darkness - Batman - OS (1999) (c).cbz,360,,0,0
/mnt/Green/Comics/0-Day Week (07-20-2016)/The Darkness vs Batman.cbr,361,,0,0
/mnt/Green/Comics/0-Day Week (07-20-2016)/The Hellblazer - Rebirth 001 (2016) (2 covers) (digital) (Son of Ultron-Empire).cbr,362,,0,0
/mnt/Green/Comics/0-Day Week (07-20-2016)/The Unbelievable Gwenpool 004 (2016) (3 covers) (digital) (Minutemen-Faessla).cbz,366,,0,0
/mnt/Green/Comics/0-Day Week (07-20-2016)/Thunderbolts 003 (2016) (2 covers) (digital) (Minutemen-Slayer).cbr,368,,0,0
/mnt/Green/Comics/0-Day Week (07-20-2016)/Thunderbolts 003 (2016) (Digital) (Zone-Empire).cbr,369,,0,0
/mnt/Green/Comics/0-Day Week (07-20-2016)/Ultimates 009 (2016) (Digital) (Zone-Empire).cbr,370,,0,0
/mnt/Green/Comics/0-Day Week (07-20-2016)/Uncanny X-Men 010 (2016) (2 covers) (Digital) (Zone-Empire).cbr,371,540092,0,0
/mnt/Green/Comics/0-Day Week (07-20-2016)/Uncanny X-Men Annual 1995 (1995) (digital) (Minutemen-Faessla).cbz,372,,0,0
/mnt/Green/Comics/0-Day Week (07-20-2016)/Vision 009 (2016) (digital) (Minutemen-Faessla).cbz,375,,0,0
"/mnt/Green/Comics/0-Day Week of 2016.11.02/All-New, All-Different Avengers 015 (2016) (digital) (Minutemen-Faessla).cbz",380,555510,0,0
/mnt/Green/Comics/0-Day Week of 2016.11.02/Aquaman 010 (2017) (Digital) (BlackManta-Empire).cbr,382,556440,0,0
/mnt/Green/Comics/0-Day Week of 2016.11.02/Avengers 001 (2017) (digital) (Minutemen-Slayer).cbr,384,556467,0,0
/mnt/Green/Comics/0-Day Week of 2016.11.02/Avengers 001 (2017) (Digital) (Zone-Empire).cbr,385,556467,0,0
/mnt/Green/Comics/0-Day Week of 2016.11.02/Batman 010 (2017) (2 covers) (digital) (Minutemen-Faessla).cbz,386,556441,0,0
/mnt/Green/Comics/0-Day Week of 2016.11.02/Batman 010 (2017) (2 covers) (Digital) (Zone-Empire).cbr,387,556441,0,0
/mnt/Green/Comics/0-Day Week of 2016.11.02/Batman v3 010 (2016) (Webrip) (The Last Kryptonian-DCP).cbr,388,556441,0,0
/mnt/Green/Comics/0-Day Week of 2016.11.02/Captain America - Steve Rogers 006 (2016) (digital) (Minutemen-Faessla).cbz,395,555512,0,0
/mnt/Green/Comics/0-Day Week of 2016.11.02/Death of Hawkman 02 (of 06) (2017) (Digital) (Zone-Empire).cbr,398,556446,0,0
/mnt/Green/Comics/0-Day Week of 2016.11.02/Extraordinary X-Men 015 (2016) (digital) (Minutemen-Faessla).cbz,400,,0,0
